"hr","holiday","workingday","weathersit","temp","atemp","hum","windspeed","cnt","instant","mnth","yr"
"7",FALSE,TRUE,"Clear to partly cloudy",0.76,0.697,0.55,0,343,13107,7,1
"8",FALSE,TRUE,"Clear to partly cloudy",0.8,0.7424,0.49,0.1343,550,13108,7,1
"9",FALSE,TRUE,"Clear to partly cloudy",0.84,0.7879,0.49,0.2985,293,13109,7,1
"10",FALSE,TRUE,"Clear to partly cloudy",0.86,0.7879,0.44,0.3582,186,13110,7,1
"11",FALSE,TRUE,"Clear to partly cloudy",0.9,0.8182,0.35,0.2985,244,13111,7,1
"12",FALSE,TRUE,"Clear to partly cloudy",0.9,0.8182,0.35,0.3582,276,13112,7,1
"13",FALSE,TRUE,"Clear to partly cloudy",0.92,0.8333,0.33,0.2239,310,13113,7,1
"14",FALSE,TRUE,"Clear to partly cloudy",0.92,0.8333,0.33,0.3284,241,13114,7,1
"15",FALSE,TRUE,"Clear to partly cloudy",0.92,0.8333,0.33,0.3582,254,13115,7,1
"16",FALSE,TRUE,"Clear to partly cloudy",0.92,0.8333,0.33,0.2537,433,13116,7,1
"17",FALSE,TRUE,"Clear to partly cloudy",0.92,0.8485,0.35,0.1642,689,13117,7,1
"18",FALSE,TRUE,"Misty",0.9,0.8333,0.39,0.3284,607,13118,7,1
"19",FALSE,TRUE,"Misty",0.88,0.803,0.39,0.2537,503,13119,7,1
"20",FALSE,TRUE,"Misty",0.86,0.7879,0.41,0.2239,321,13120,7,1
"21",FALSE,TRUE,"Clear to partly cloudy",0.84,0.7727,0.47,0.194,323,13121,7,1
"22",FALSE,TRUE,"Clear to partly cloudy",0.82,0.803,0.59,0.1343,225,13122,7,1
"23",FALSE,TRUE,"Clear to partly cloudy",0.8,0.7576,0.55,0.1642,131,13123,7,1
"0",FALSE,TRUE,"Clear to partly cloudy",0.78,0.7424,0.62,0.1343,102,13124,7,1
"1",FALSE,TRUE,"Clear to partly cloudy",0.78,0.7273,0.55,0.2239,29,13125,7,1
"2",FALSE,TRUE,"Clear to partly cloudy",0.76,0.7121,0.62,0.1343,17,13126,7,1
"3",FALSE,TRUE,"Misty",0.74,0.697,0.7,0.194,7,13127,7,1
"4",FALSE,TRUE,"Clear to partly cloudy",0.74,0.697,0.66,0.2239,6,13128,7,1
"5",FALSE,TRUE,"Clear to partly cloudy",0.74,0.697,0.66,0.194,35,13129,7,1
"6",FALSE,TRUE,"Clear to partly cloudy",0.74,0.697,0.66,0.194,131,13130,7,1
"7",FALSE,TRUE,"Clear to partly cloudy",0.78,0.697,0.46,0.1343,353,13131,7,1
"8",FALSE,TRUE,"Clear to partly cloudy",0.8,0.7121,0.41,0.1642,585,13132,7,1
"9",FALSE,TRUE,"Clear to partly cloudy",0.82,0.7273,0.36,0.1343,304,13133,7,1
"10",FALSE,TRUE,"Clear to partly cloudy",0.86,0.7424,0.3,0,210,13134,7,1
"11",FALSE,TRUE,"Clear to partly cloudy",0.84,0.7273,0.32,0.0896,233,13135,7,1
"12",FALSE,TRUE,"Clear to partly cloudy",0.88,0.7576,0.28,0.1045,331,13136,7,1
"13",FALSE,TRUE,"Clear to partly cloudy",0.9,0.7879,0.27,0.1045,293,13137,7,1
"14",FALSE,TRUE,"Clear to partly cloudy",0.9,0.803,0.31,0.1642,275,13138,7,1
"15",FALSE,TRUE,"Clear to partly cloudy",0.92,0.8182,0.29,0.194,285,13139,7,1
"16",FALSE,TRUE,"Clear to partly cloudy",0.92,0.8182,0.29,0.1045,369,13140,7,1
"17",FALSE,TRUE,"Clear to partly cloudy",0.92,0.8182,0.29,0,576,13141,7,1
"18",FALSE,TRUE,"Clear to partly cloudy",0.9,0.803,0.33,0.2537,560,13142,7,1
"19",FALSE,TRUE,"Clear to partly cloudy",0.88,0.7879,0.35,0.2239,418,13143,7,1
"20",FALSE,TRUE,"Clear to partly cloudy",0.86,0.7727,0.39,0.1045,336,13144,7,1
"21",FALSE,TRUE,"Clear to partly cloudy",0.82,0.7727,0.52,0.1343,300,13145,7,1
"22",FALSE,TRUE,"Clear to partly cloudy",0.8,0.7576,0.55,0.194,288,13146,7,1
"23",FALSE,TRUE,"Clear to partly cloudy",0.8,0.7879,0.63,0.1045,164,13147,7,1
"0",FALSE,FALSE,"Clear to partly cloudy",0.78,0.7576,0.66,0.1343,150,13148,7,1
"1",FALSE,FALSE,"Clear to partly cloudy",0.76,0.7273,0.7,0.1642,71,13149,7,1
"2",FALSE,FALSE,"Clear to partly cloudy",0.76,0.7424,0.72,0.1642,58,13150,7,1
"3",FALSE,FALSE,"Clear to partly cloudy",0.74,0.7121,0.74,0.1343,31,13151,7,1
"4",FALSE,FALSE,"Clear to partly cloudy",0.74,0.7121,0.74,0.1642,16,13152,7,1
"5",FALSE,FALSE,"Clear to partly cloudy",0.74,0.7121,0.74,0.194,14,13153,7,1
"6",FALSE,FALSE,"Clear to partly cloudy",0.74,0.7121,0.74,0.1045,31,13154,7,1
"7",FALSE,FALSE,"Clear to partly cloudy",0.78,0.7576,0.66,0.1045,71,13155,7,1
"8",FALSE,FALSE,"Clear to partly cloudy",0.82,0.8333,0.63,0.194,152,13156,7,1
"9",FALSE,FALSE,"Clear to partly cloudy",0.84,0.8333,0.59,0.1642,256,13157,7,1
"10",FALSE,FALSE,"Clear to partly cloudy",0.92,0.8636,0.37,0.2239,325,13158,7,1
"11",FALSE,FALSE,"Clear to partly cloudy",0.94,0.8788,0.38,0.194,367,13159,7,1
"12",FALSE,FALSE,"Clear to partly cloudy",0.96,0.8636,0.31,0.3582,342,13160,7,1
"13",FALSE,FALSE,"Misty",0.96,0.8636,0.31,0.2537,360,13161,7,1
"14",FALSE,FALSE,"Misty",0.96,0.8636,0.3,0.1343,308,13162,7,1
"15",FALSE,FALSE,"Clear to partly cloudy",0.96,0.8485,0.26,0,306,13163,7,1
"16",FALSE,FALSE,"Clear to partly cloudy",1,0.8636,0.19,0.1642,294,13164,7,1
"17",FALSE,FALSE,"Clear to partly cloudy",0.96,0.8485,0.26,0.1343,279,13165,7,1
"18",FALSE,FALSE,"Clear to partly cloudy",0.94,0.8333,0.29,0.0896,277,13166,7,1
"19",FALSE,FALSE,"Clear to partly cloudy",0.92,0.8333,0.33,0.1343,287,13167,7,1
"20",FALSE,FALSE,"Clear to partly cloudy",0.9,0.8182,0.37,0.1642,276,13168,7,1
"21",FALSE,FALSE,"Clear to partly cloudy",0.88,0.7879,0.37,0.194,201,13169,7,1
"22",FALSE,FALSE,"Clear to partly cloudy",0.84,0.8333,0.59,0.194,220,13170,7,1
"23",FALSE,FALSE,"Clear to partly cloudy",0.84,0.8182,0.56,0.1642,148,13171,7,1
"0",FALSE,FALSE,"Clear to partly cloudy",0.82,0.7879,0.56,0.1343,147,13172,7,1
"1",FALSE,FALSE,"Clear to partly cloudy",0.82,0.7879,0.56,0.1045,124,13173,7,1
"2",FALSE,FALSE,"Clear to partly cloudy",0.82,0.7727,0.52,0.1045,70,13174,7,1
"3",FALSE,FALSE,"Clear to partly cloudy",0.8,0.7727,0.59,0.1045,35,13175,7,1
"4",FALSE,FALSE,"Clear to partly cloudy",0.78,0.7576,0.66,0.1045,13,13176,7,1
"5",FALSE,FALSE,"Clear to partly cloudy",0.78,0.7424,0.62,0,6,13177,7,1
"6",FALSE,FALSE,"Clear to partly cloudy",0.78,0.7727,0.7,0.1343,21,13178,7,1
"7",FALSE,FALSE,"Clear to partly cloudy",0.8,0.803,0.66,0,52,13179,7,1
"8",FALSE,FALSE,"Clear to partly cloudy",0.84,0.803,0.53,0.1343,130,13180,7,1
"9",FALSE,FALSE,"Clear to partly cloudy",0.86,0.8182,0.5,0.1045,242,13181,7,1
"10",FALSE,FALSE,"Clear to partly cloudy",0.9,0.8636,0.45,0,319,13182,7,1
"11",FALSE,FALSE,"Clear to partly cloudy",0.92,0.8939,0.42,0.2985,389,13183,7,1
"12",FALSE,FALSE,"Clear to partly cloudy",0.92,0.8939,0.42,0.194,376,13184,7,1
"13",FALSE,FALSE,"Clear to partly cloudy",0.94,0.8788,0.38,0.2537,337,13185,7,1
"14",FALSE,FALSE,"Clear to partly cloudy",0.96,0.9091,0.36,0.1642,312,13186,7,1
"15",FALSE,FALSE,"Light Precipitation",0.92,0.8939,0.42,0.2836,298,13187,7,1
"16",FALSE,FALSE,"Misty",0.8,0.803,0.66,0.2239,291,13188,7,1
"17",FALSE,FALSE,"Clear to partly cloudy",0.78,0.7424,0.59,0,270,13189,7,1
"18",FALSE,FALSE,"Clear to partly cloudy",0.78,0.7424,0.62,0.1045,253,13190,7,1
"19",FALSE,FALSE,"Clear to partly cloudy",0.78,0.7424,0.62,0.1642,250,13191,7,1
"20",FALSE,FALSE,"Clear to partly cloudy",0.76,0.7273,0.7,0.0896,285,13192,7,1
"21",FALSE,FALSE,"Clear to partly cloudy",0.76,0.7273,0.7,0.1343,207,13193,7,1
"22",FALSE,FALSE,"Light Precipitation",0.74,0.697,0.7,0.0896,122,13194,7,1
"23",FALSE,FALSE,"Light Precipitation",0.68,0.6364,0.83,0.0896,123,13195,7,1
"0",FALSE,TRUE,"Misty",0.68,0.6364,0.89,0.0896,39,13196,7,1
"1",FALSE,TRUE,"Light Precipitation",0.7,0.6667,0.89,0.1045,18,13197,7,1
"2",FALSE,TRUE,"Light Precipitation",0.7,0.6667,0.89,0.194,5,13198,7,1
"3",FALSE,TRUE,"Light Precipitation",0.7,0.6667,0.89,0.194,5,13199,7,1
"4",FALSE,TRUE,"Light Precipitation",0.66,0.5909,0.89,0.3881,2,13200,7,1
"5",FALSE,TRUE,"Misty",0.66,0.6061,0.83,0.2239,28,13201,7,1
"6",FALSE,TRUE,"Light Precipitation",0.64,0.5758,0.89,0.2537,92,13202,7,1
"7",FALSE,TRUE,"Light Precipitation",0.66,0.6061,0.83,0.2239,230,13203,7,1
"8",FALSE,TRUE,"Misty",0.66,0.6061,0.83,0.1642,455,13204,7,1
"9",FALSE,TRUE,"Misty",0.66,0.6061,0.83,0.1642,363,13205,7,1
"10",FALSE,TRUE,"Misty",0.66,0.6061,0.83,0.194,175,13206,7,1
"11",FALSE,TRUE,"Misty",0.72,0.6818,0.62,0.1343,216,13207,7,1
"12",FALSE,TRUE,"Misty",0.74,0.6818,0.58,0.1343,266,13208,7,1
"13",FALSE,TRUE,"Misty",0.76,0.697,0.55,0.2537,255,13209,7,1
"14",FALSE,TRUE,"Misty",0.74,0.6818,0.55,0.2537,242,13210,7,1
"15",FALSE,TRUE,"Misty",0.76,0.6818,0.45,0.2239,280,13211,7,1
"16",FALSE,TRUE,"Clear to partly cloudy",0.78,0.697,0.4,0.2836,413,13212,7,1
"17",FALSE,TRUE,"Clear to partly cloudy",0.78,0.697,0.4,0.1642,849,13213,7,1
"18",FALSE,TRUE,"Clear to partly cloudy",0.76,0.6818,0.48,0.1343,872,13214,7,1
"19",FALSE,TRUE,"Clear to partly cloudy",0.74,0.6818,0.55,0.1642,631,13215,7,1
"20",FALSE,TRUE,"Misty",0.74,0.6818,0.55,0.1045,447,13216,7,1
"21",FALSE,TRUE,"Misty",0.74,0.6818,0.55,0.0896,331,13217,7,1
"22",FALSE,TRUE,"Misty",0.72,0.6667,0.58,0.1045,224,13218,7,1
"23",FALSE,TRUE,"Misty",0.7,0.6515,0.65,0.1045,131,13219,7,1
"0",FALSE,TRUE,"Clear to partly cloudy",0.7,0.6515,0.7,0.0896,69,13220,7,1
"1",FALSE,TRUE,"Clear to partly cloudy",0.7,0.6667,0.74,0.1343,15,13221,7,1
"2",FALSE,TRUE,"Clear to partly cloudy",0.7,0.6667,0.74,0.1343,16,13222,7,1
"3",FALSE,TRUE,"Clear to partly cloudy",0.68,0.6364,0.79,0,3,13223,7,1
"4",FALSE,TRUE,"Clear to partly cloudy",0.68,0.6364,0.79,0.1343,4,13224,7,1
"5",FALSE,TRUE,"Clear to partly cloudy",0.66,0.6061,0.83,0.1343,42,13225,7,1
"6",FALSE,TRUE,"Misty",0.68,0.6364,0.79,0.1045,187,13226,7,1
"7",FALSE,TRUE,"Misty",0.7,0.6667,0.74,0.1045,520,13227,7,1
"8",FALSE,TRUE,"Clear to partly cloudy",0.72,0.697,0.74,0.1343,649,13228,7,1
"9",FALSE,TRUE,"Clear to partly cloudy",0.74,0.697,0.66,0.1343,331,13229,7,1
"10",FALSE,TRUE,"Clear to partly cloudy",0.76,0.7121,0.62,0.194,190,13230,7,1
"11",FALSE,TRUE,"Clear to partly cloudy",0.8,0.7273,0.46,0.194,249,13231,7,1
"12",FALSE,TRUE,"Clear to partly cloudy",0.8,0.7121,0.41,0.1343,272,13232,7,1
"13",FALSE,TRUE,"Clear to partly cloudy",0.82,0.7273,0.38,0.194,280,13233,7,1
"14",FALSE,TRUE,"Clear to partly cloudy",0.82,0.7273,0.38,0.1642,242,13234,7,1
"15",FALSE,TRUE,"Clear to partly cloudy",0.8,0.7121,0.41,0.2239,265,13235,7,1
"16",FALSE,TRUE,"Clear to partly cloudy",0.8,0.7273,0.43,0.2239,435,13236,7,1
"17",FALSE,TRUE,"Clear to partly cloudy",0.78,0.7121,0.49,0.194,872,13237,7,1
"18",FALSE,TRUE,"Light Precipitation",0.7,0.6667,0.74,0.2239,819,13238,7,1
"19",FALSE,TRUE,"Light Precipitation",0.7,0.6667,0.74,0.2239,414,13239,7,1
"20",FALSE,TRUE,"Light Precipitation",0.64,0.5758,0.83,0.2239,84,13240,7,1
"21",FALSE,TRUE,"Light Precipitation",0.64,0.5758,0.89,0.1045,90,13241,7,1
"22",FALSE,TRUE,"Misty",0.64,0.5758,0.83,0.1343,139,13242,7,1
"23",FALSE,TRUE,"Misty",0.64,0.5758,0.89,0.1045,103,13243,7,1
"0",FALSE,TRUE,"Misty",0.66,0.6061,0.83,0.1343,44,13244,7,1
"1",FALSE,TRUE,"Clear to partly cloudy",0.64,0.5758,0.89,0,14,13245,7,1
"2",FALSE,TRUE,"Clear to partly cloudy",0.64,0.5758,0.89,0,5,13246,7,1
"3",FALSE,TRUE,"Clear to partly cloudy",0.64,0.5758,0.89,0.1343,5,13247,7,1
"4",FALSE,TRUE,"Clear to partly cloudy",0.64,0.5758,0.89,0.1343,7,13248,7,1
"5",FALSE,TRUE,"Clear to partly cloudy",0.64,0.5758,0.89,0,41,13249,7,1
"6",FALSE,TRUE,"Clear to partly cloudy",0.64,0.5758,0.89,0.1343,185,13250,7,1
"7",FALSE,TRUE,"Misty",0.66,0.6061,0.83,0.1045,497,13251,7,1
"8",FALSE,TRUE,"Misty",0.68,0.6364,0.79,0.1642,674,13252,7,1
"9",FALSE,TRUE,"Misty",0.7,0.6667,0.74,0.1343,328,13253,7,1
"10",FALSE,TRUE,"Misty",0.72,0.6818,0.62,0.1343,195,13254,7,1
"11",FALSE,TRUE,"Misty",0.76,0.7121,0.58,0.1343,229,13255,7,1
"12",FALSE,TRUE,"Misty",0.78,0.697,0.43,0,292,13256,7,1
"13",FALSE,TRUE,"Misty",0.8,0.7121,0.42,0.1642,273,13257,7,1
"14",FALSE,TRUE,"Clear to partly cloudy",0.8,0.7121,0.41,0.2239,241,13258,7,1
"15",FALSE,TRUE,"Clear to partly cloudy",0.8,0.7121,0.41,0.2537,276,13259,7,1
"16",FALSE,TRUE,"Clear to partly cloudy",0.8,0.7121,0.38,0.194,411,13260,7,1
"17",FALSE,TRUE,"Clear to partly cloudy",0.8,0.697,0.31,0.2239,830,13261,7,1
"18",FALSE,TRUE,"Clear to partly cloudy",0.78,0.6818,0.38,0.2537,814,13262,7,1
"19",FALSE,TRUE,"Clear to partly cloudy",0.74,0.6667,0.48,0.2239,633,13263,7,1
"20",FALSE,TRUE,"Clear to partly cloudy",0.74,0.6667,0.51,0.1642,483,13264,7,1
"21",FALSE,TRUE,"Clear to partly cloudy",0.72,0.6667,0.58,0.2239,391,13265,7,1
"22",FALSE,TRUE,"Clear to partly cloudy",0.72,0.6667,0.58,0.2537,244,13266,7,1
"23",FALSE,TRUE,"Misty",0.7,0.6515,0.58,0.2537,152,13267,7,1
"0",FALSE,TRUE,"Misty",0.68,0.6364,0.61,0,56,13268,7,1
"1",FALSE,TRUE,"Misty",0.66,0.6212,0.61,0,21,13269,7,1
"2",FALSE,TRUE,"Misty",0.66,0.6212,0.65,0.0896,9,13270,7,1
"3",FALSE,TRUE,"Clear to partly cloudy",0.64,0.6061,0.69,0.1045,10,13271,7,1
"4",FALSE,TRUE,"Clear to partly cloudy",0.64,0.6061,0.73,0.1045,5,13272,7,1
"5",FALSE,TRUE,"Clear to partly cloudy",0.62,0.5909,0.73,0.1045,44,13273,7,1
"6",FALSE,TRUE,"Clear to partly cloudy",0.64,0.6061,0.73,0.0896,178,13274,7,1
"7",FALSE,TRUE,"Clear to partly cloudy",0.64,0.6061,0.73,0.1343,512,13275,7,1
"8",FALSE,TRUE,"Clear to partly cloudy",0.68,0.6364,0.65,0.1343,702,13276,7,1
"9",FALSE,TRUE,"Clear to partly cloudy",0.72,0.6667,0.58,0.1045,327,13277,7,1
"10",FALSE,TRUE,"Clear to partly cloudy",0.74,0.6667,0.48,0.1642,214,13278,7,1
"11",FALSE,TRUE,"Clear to partly cloudy",0.76,0.6818,0.45,0.1045,215,13279,7,1
"12",FALSE,TRUE,"Clear to partly cloudy",0.78,0.6818,0.35,0.1343,292,13280,7,1
"13",FALSE,TRUE,"Clear to partly cloudy",0.8,0.697,0.33,0.2239,277,13281,7,1
