"status","age","total_length","wingspan","weight","beak_head","humerus","femur","legbone","skull","sternum"
"Perished","adult",162,246,26.5,31.5,0.72,0.7,1.09,0.61,0.81
"Perished","adult",160,249,26,31.4,0.73,0.69,1.1,0.6,0.85
"Perished","adult",161,250,27.1,31.6,0.74,0.71,1.12,0.63,0.85
"Perished","adult",162,248,25.1,31.9,0.74,0.72,1.15,0.59,0.84
"Perished","adult",165,252,26,32.3,0.73,0.71,1.14,0.61,0.89
"Perished","adult",161,243,25.6,32.5,0.71,0.71,1.12,0.61,0.83
"Perished","adult",161,244,25,31.3,0.7,0.69,1.08,0.6,0.87
"Perished","adult",162,248,24.6,31,0.71,0.7,1.09,0.59,0.84
"Perished","adult",164,244,25,31.2,0.7,0.69,1.07,0.61,0.8
"Perished","adult",158,247,26,32,0.73,0.71,1.14,0.61,0.8
"Perished","adult",162,253,28.3,31.8,0.75,0.72,1.15,0.6,0.86
"Perished","adult",156,239,24.6,30.5,0.66,0.66,1.04,0.57,0.81
"Perished","adult",166,251,27.5,31.5,0.72,0.69,1.12,0.61,0.85
"Perished","adult",165,253,31,32.4,0.76,0.75,1.18,0.61,0.9
"Perished","adult",166,250,28.3,32.4,0.75,0.72,1.18,0.61,0.92
"Survived","juvenile",156,246,24.6,32,0.74,0.74,1.17,0.59,0.85
"Survived","juvenile",156,245,25.5,32.1,0.76,0.72,1.15,0.62,0.82
"Survived","juvenile",163,248,24.8,32.2,0.74,0.73,1.16,0.61,0.85
"Survived","juvenile",163,248,26.3,33,0.74,0.7,1.15,0.61,0.84
"Survived","juvenile",160,250,24.4,31.5,0.75,0.71,1.17,0.6,0.89
"Survived","juvenile",156,237,23.3,30.6,0.69,0.66,1.01,0.59,0.77
"Survived","juvenile",162,253,26.7,32,0.76,0.73,1.2,0.63,0.88
"Survived","juvenile",163,254,26.4,32,0.77,0.75,1.16,0.61,0.89
"Survived","juvenile",164,251,26.9,32,0.75,0.74,1.17,0.62,0.89
"Survived","juvenile",163,244,24.3,31.3,0.72,0.68,1.08,0.61,0.89
"Survived","juvenile",160,247,27,31.5,0.76,0.73,1.18,0.62,0.85
"Survived","juvenile",160,250,26.8,32.5,0.76,0.73,1.12,0.63,0.84
"Survived","juvenile",158,247,24.9,32.4,0.75,0.72,1.14,0.59,0.87
"Survived","juvenile",158,249,26.1,32.2,0.74,0.74,1.15,0.6,0.82
"Survived","juvenile",158,243,26.6,32.4,0.75,0.71,1.16,0.61,0.89
"Survived","juvenile",155,237,23.3,30.2,0.69,0.65,1.01,0.59,0.79
"Perished","juvenile",160,249,24,30.4,0.74,0.72,1.13,0.62,0.84
"Perished","juvenile",156,236,26.8,30.2,0.69,0.67,1.07,0.56,0.83
"Perished","juvenile",158,240,23.5,31,0.71,0.7,1.11,0.6,0.81
"Perished","juvenile",166,245,26.9,31.7,0.71,0.69,1.11,0.6,0.85
"Perished","juvenile",165,255,28.6,31.5,0.77,0.74,1.17,0.61,0.85
"Perished","juvenile",157,238,24.7,31.2,0.68,0.68,1.16,0.6,0.77
"Perished","juvenile",164,250,27.3,31.8,0.76,0.73,1.17,0.59,0.86
"Perished","juvenile",166,256,25.7,31.7,0.75,0.75,1.19,0.6,0.86
"Perished","juvenile",167,255,29,32.2,0.76,0.75,1.2,0.64,0.86
"Perished","juvenile",161,246,25,31.5,0.74,0.71,1.12,0.59,0.85
"Perished","juvenile",166,254,27.5,31.4,0.76,0.74,1.12,0.6,0.91
"Perished","juvenile",161,251,26,31.5,0.73,0.71,1.12,0.59,0.83
